"Story","Title","Result","Date","Stability","Duration (s)"
"Linio Page","Choose any element to add at the buy car","SUCCESS","2018-10-24T15:45:11.877-05:00[America/Bogota]","0.0","17.02"
"Linio Page","Choose any  product to add at the buy car","FAILURE","2018-10-25T17:27:10.27-05:00[America/Bogota]","0.0","29.87"
